Mono_Left_overall_transcript,Mono_Right_overall_transcript,lang-detect_roberta-base-model,lang-detect_lang-detect-model
"Hello, मैं सुनील से बात कर रही हूं. Hello. आप अश्विनी लक्ष्मी, अश्विनी बोल रहे Ma'am आप हिंदी. My name is and I'm calling from dot com. Ma'am I can see that you were placing an order for golden tire early set of free. So but you haven't confirm the order. Can I assist you in placing the order? Ok. Have you reached out to our customer care ma'am? हां, have you reached out to our customer care in regards to the store credit? Ok, alright. Ok, alright. So as we do not have that code ma'am, currently I I will just note down your query and I will pass it on to my team and someone from our team will connect you on this regard. Meanwhile ma'am, do you, can I assist you in placing the order without the store credit if you want to place it right now? Want to go at the store credit only. Alright, ok. So, alright ma'am. I'll just make a note of it. I will just check out your cart value which is 18 99 1899, right? Alright so ma'am I will just. If you want, our team can place the order for your behalf team will reach out to you firstly regarding the 2 credits, ma'am. Ok? Email, I also suggest you to please reach out to us on by our website. You can check out our helpline number and reach out to us. Yes yes ma'am, I'll definitely inform someone, ok?","Hello, मैं सुनील से बात कर रही हूं. Hello. आप अश्विनी लक्ष्मी, अश्विनी बोल रहे Ma'am आप हिंदी. My name is and I'm calling from dot com. Ma'am I can see that you were placing an order for golden tire early set of free. So but you haven't confirm the order. Can I assist you in placing the order? Ok. Have you reached out to our customer care ma'am? हां, have you reached out to our customer care in regards to the store credit? Ok, alright. Ok, alright. So as we do not have that code ma'am, currently I I will just note down your query and I will pass it on to my team and someone from our team will connect you on this regard. Meanwhile ma'am, do you, can I assist you in placing the order without the store credit if you want to place it right now? Want to go at the store credit only. Alright, ok. So, alright ma'am. I'll just make a note of it. I will just check out your cart value which is 18 99 1899, right? Alright so ma'am I will just. If you want, our team can place the order for your behalf team will reach out to you firstly regarding the 2 credits, ma'am. Ok? Email, I also suggest you to please reach out to us on by our website. You can check out our helpline number and reach out to us. Yes yes ma'am, I'll definitely inform someone, ok?",en,en
"Hello मैं विनोद कुमार. मेरा नाम है और मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आप dot com, मैं देख सकती हूं कि आप top plan का set of 2 का order place कर रहे थे पर आपने order को confirm नहीं किया. क्या मैं आपका order place करने में मदद कर सकती हूं? अभी required नहीं है. Ok","Hello मैं विनोद कुमार. मेरा नाम है और मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आप dot com, मैं देख सकती हूं कि आप top plan का set of 2 का order place कर रहे थे पर आपने order को confirm नहीं किया. क्या मैं आपका order place करने में मदद कर सकती हूं? अभी required नहीं है. Ok",hi,hi
"Hello क्या मैं मीनाक्षी जैन से बात कर रही हूं? मेरा नाम आयशा है, मैं Dssaan dot com से बात कर रही हूं. मैं देख सकती हूं कि आप, Dssaan Dssaan dot com. मैं देख सकती हूं कि आपका एक vegetable shopping board का एक order आप place कर रहे थे, but आपने ना उस order को confirm नहीं किया है. क्या मैं आपका order place करना suggest कर सकती हूं? कर दिया है ma'am आपने इसके लिए 06:50 का card value है. Ma'am क्या आप मुझे बता सकते हैं क्या आपको confirmation message मिला है WhatsApp पर order confirmation का? Ok ok ok ठीक है ma'am. Thank you so much for shopping with us ma'am. Have a nice day. Bye.","Hello क्या मैं मीनाक्षी जैन से बात कर रही हूं? मेरा नाम आयशा है, मैं Dssaan dot com से बात कर रही हूं. मैं देख सकती हूं कि आप, Dssaan Dssaan dot com. मैं देख सकती हूं कि आपका एक vegetable shopping board का एक order आप place कर रहे थे, but आपने ना उस order को confirm नहीं किया है. क्या मैं आपका order place करना suggest कर सकती हूं? कर दिया है ma'am आपने इसके लिए 06:50 का card value है. Ma'am क्या आप मुझे बता सकते हैं क्या आपको confirmation message मिला है WhatsApp पर order confirmation का? Ok ok ok ठीक है ma'am. Thank you so much for shopping with us ma'am. Have a nice day. Bye.",hi,hi
"अनुराग अग्रवाल से बात कर रहे मेरा नाम है और मैं Disan dot com से बात कर रही हूं. मैं देख सकती हूं कि आप happy दीवाली center का order place कर रहे थे. पर आपने order तो confirm नहीं किया. क्या मैं आपको order place करने में मदद कर सकती हूं? तो ma'am अभी यह वाला जो आपने आप ही दीवाली center standard पसंद किया था उस product के बारे में आपने आज किया था, पर आपने pending order में रखा है उसको. तो अभी मैं आपको. Ma'am, जो आपका return का issue है, वह resolve हो गया है अच्छा तो but यह order का क्या? अच्छा, तो ma'am इस order का क्या करना है ma'am? इससे आपको मैं order place करने में मदद कर दूं? यह 649 rupees का है. मैं आपको अभी SMS send कर रही हूं. एक बार SMS check कीजिए ma'am. मैंने normal text message send किया, order booking link है उसमें. मैं call पर ही हूं ma'am check कर लीजिए आप मैं call पर wait करती हूं. आपको मिला है इसमें?","अनुराग अग्रवाल से बात कर रहे मेरा नाम है और मैं Disan dot com से बात कर रही हूं. मैं देख सकती हूं कि आप happy दीवाली center का order place कर रहे थे. पर आपने order तो confirm नहीं किया. क्या मैं आपको order place करने में मदद कर सकती हूं? तो ma'am अभी यह वाला जो आपने आप ही दीवाली center standard पसंद किया था उस product के बारे में आपने आज किया था, पर आपने pending order में रखा है उसको. तो अभी मैं आपको. Ma'am, जो आपका return का issue है, वह resolve हो गया है अच्छा तो but यह order का क्या? अच्छा, तो ma'am इस order का क्या करना है ma'am? इससे आपको मैं order place करने में मदद कर दूं? यह 649 rupees का है. मैं आपको अभी SMS send कर रही हूं. एक बार SMS check कीजिए ma'am. मैंने normal text message send किया, order booking link है उसमें. मैं call पर ही हूं ma'am check कर लीजिए आप मैं call पर wait करती हूं. आपको मिला है इसमें?",hi,hi
Hello. क्या मेरी बात राजेंद्र गुप्ता से हो रही है? Hello आपकी तरफ़ से कोई response नहीं आ रहा है इसलिए मुझे अपने end से call disconnect करना,Hello. क्या मेरी बात राजेंद्र गुप्ता से हो रही है? Hello आपकी तरफ़ से कोई response नहीं आ रहा है इसलिए मुझे अपने end से call disconnect करना,hi,hi
"Hello, Mister पाली शेट्टी से बात कर रही हूं? मेरा नाम लुलेरिया है और मैं dot com से बात कर रही हूं. Ma'am मैं देखती हूं dot com. जी मैं देख सकती हूं कि आप ना gold peel पूजा थाली with box का order place कर रहे थे. Sir आपने order को confirm नहीं किया. क्या मैं आपका order place करने में मदद कर सकती हूं ma'am?  समझ रही हूं ma'am आपकी concern आपका आपको आप shipping track कर सकते हैं ना ma'am आपको shipment track करने के लिए वहां पर status क्या show कर रहा है अभी? अच्छा आप आपने हमारी team से contact किया था इस बारे में और क्या Ma'am मैं तकलीफ़ के लिए माफ़ी चाहूंगी. Yes ma'am, I understand. Understand your customer. अपना time bounce है.  नहीं ma'am, ऐसा तो नहीं है. Normally देखिए 4 to 8 days लगते हैं लगेंगे और metro cities में ना 3 to 5 days लगते हैं. Sorry ma'am. वैसे तो like कल परसों के लिए तो possible नहीं होगा, but अभी यह order आप. I understand. जी जी I understand ma'am लेकिन अभी तो time bound आप है मैं समझ सकती हूं but still ma'am delivery के लिए तो 4 to 8 days minimum लगते ही है it's like from a hundred time है. Ma'am मैं भी. जी ma'am और मैं आपकी team, जी जी. हां हां ma'am, आपका मैं definitely definitely ma'am मैंने आपकी query note कर ली है. आपका shipment जो pending है उसके बारे में अपनी team को pass on कर दूंगी. Ma'am normally. आपने 20 seventh को order किया था क्या? तो ma'am normally ma'am 4 to 8 days लगेंगे और metro cities में ना 3 to 5. करण. I understand your concern ma'am. I जी ma'am मैं समझ रही हूं आपकी concern. I'm so sorry. No problem. I totally understand. No no, I understand your concern. नहीं नहीं ma'am I absolutely, नहीं नहीं I absolutely understand and highly appreciated आप but that's not required. I'm so sorry from our end as well कि आपको इतना inconvenience था. नहीं वह तो मेरे हाथ में नहीं है. But I'm so sorry यह तो normal standard time है ना ma'am standard time इतना होता है. तो no problem. नहीं ma'am, actually हमारा जो store है online busy, कोई आप no problem. No problem ma'am yeah ma'am that's great आप frequently order कर लीजिए. Sure sure. Ma'am मैं हमारी team से यह pass on कर दूंगी. हमारी जो concern team है ना they look into it और definitely they reach out to you इस बार, ठीक है? Any time. I need I am so sorry no problem no problem. No problem ma'am. I understand no problem that's why. No no, that's fine. I understand. No problem. Thank you thank you ma'am wish you best thank you so much. And ma'am if incase yes ma'am if incase आपका मतलब मंद ले तो आप कभी भी WWW dot dot com पर से अपने पसंद की चीज़ें order कर सकते हैं ok? Alright alright ठीक है.  हां ma'am, it's definitely. Anytime anytime. Thank you for your time. Ok, have a nice ","Hello, Mister पाली शेट्टी से बात कर रही हूं? मेरा नाम लुलेरिया है और मैं dot com से बात कर रही हूं. Ma'am मैं देखती हूं dot com. जी मैं देख सकती हूं कि आप ना gold peel पूजा थाली with box का order place कर रहे थे. Sir आपने order को confirm नहीं किया. क्या मैं आपका order place करने में मदद कर सकती हूं ma'am?  समझ रही हूं ma'am आपकी concern आपका आपको आप shipping track कर सकते हैं ना ma'am आपको shipment track करने के लिए वहां पर status क्या show कर रहा है अभी? अच्छा आप आपने हमारी team से contact किया था इस बारे में और क्या Ma'am मैं तकलीफ़ के लिए माफ़ी चाहूंगी. Yes ma'am, I understand. Understand your customer. अपना time bounce है.  नहीं ma'am, ऐसा तो नहीं है. Normally देखिए 4 to 8 days लगते हैं लगेंगे और metro cities में ना 3 to 5 days लगते हैं. Sorry ma'am. वैसे तो like कल परसों के लिए तो possible नहीं होगा, but अभी यह order आप. I understand. जी जी I understand ma'am लेकिन अभी तो time bound आप है मैं समझ सकती हूं but still ma'am delivery के लिए तो 4 to 8 days minimum लगते ही है it's like from a hundred time है. Ma'am मैं भी. जी ma'am और मैं आपकी team, जी जी. हां हां ma'am, आपका मैं definitely definitely ma'am मैंने आपकी query note कर ली है. आपका shipment जो pending है उसके बारे में अपनी team को pass on कर दूंगी. Ma'am normally. आपने 20 seventh को order किया था क्या? तो ma'am normally ma'am 4 to 8 days लगेंगे और metro cities में ना 3 to 5. करण. I understand your concern ma'am. I जी ma'am मैं समझ रही हूं आपकी concern. I'm so sorry. No problem. I totally understand. No no, I understand your concern. नहीं नहीं ma'am I absolutely, नहीं नहीं I absolutely understand and highly appreciated आप but that's not required. I'm so sorry from our end as well कि आपको इतना inconvenience था. नहीं वह तो मेरे हाथ में नहीं है. But I'm so sorry यह तो normal standard time है ना ma'am standard time इतना होता है. तो no problem. नहीं ma'am, actually हमारा जो store है online busy, कोई आप no problem. No problem ma'am yeah ma'am that's great आप frequently order कर लीजिए. Sure sure. Ma'am मैं हमारी team से यह pass on कर दूंगी. हमारी जो concern team है ना they look into it और definitely they reach out to you इस बार, ठीक है? Any time. I need I am so sorry no problem no problem. No problem ma'am. I understand no problem that's why. No no, that's fine. I understand. No problem. Thank you thank you ma'am wish you best thank you so much. And ma'am if incase yes ma'am if incase आपका मतलब मंद ले तो आप कभी भी WWW dot dot com पर से अपने पसंद की चीज़ें order कर सकते हैं ok? Alright alright ठीक है.  हां ma'am, it's definitely. Anytime anytime. Thank you for your time. Ok, have a nice ",hi,en
Hello क्या मैं शोभना मुरलीधरन से बात कर रही हूं? Hello. Hello. Hello. ,Hello क्या मैं शोभना मुरलीधरन से बात कर रही हूं? Hello. Hello. Hello. ,hi,hi
"Hello क्या मैं renew cricket से बात कर रही हूं? मेरा नाम आयशा है. मैं Dindustan dot com से बात कर रही हूं. मैं देख सकती हूं कि आपका एक Dssaan Dssaan dot com. देख सकती हूं कि आपका article place check up 10 class से एक order आप place कर रहे थे. But आपने ना इस order को confirm नहीं किया है. क्या मैं आपको order place में मदद कर सकती हूं ma'am? शाम तक. Ok ठीक है ma'am मैं आपको 05:00 तक callback कर लेती हूं ठीक है आप मुझे बता देना ठीक है. Alright ma'am, thank you so much for your time. Have a nice day.","Hello क्या मैं renew cricket से बात कर रही हूं? मेरा नाम आयशा है. मैं Dindustan dot com से बात कर रही हूं. मैं देख सकती हूं कि आपका एक Dssaan Dssaan dot com. देख सकती हूं कि आपका article place check up 10 class से एक order आप place कर रहे थे. But आपने ना इस order को confirm नहीं किया है. क्या मैं आपको order place में मदद कर सकती हूं ma'am? शाम तक. Ok ठीक है ma'am मैं आपको 05:00 तक callback कर लेती हूं ठीक है आप मुझे बता देना ठीक है. Alright ma'am, thank you so much for your time. Have a nice day.",hi,hi
Hello क्या मैं शाश्वत चटर्जी जी से बात कर रही हूं? जी मेरा नाम है और मैं Zustan dot com से बात कर रही हूं. मैं देख सकती हूं कि आप dual design,Hello क्या मैं शाश्वत चटर्जी जी से बात कर रही हूं? जी मेरा नाम है और मैं Zustan dot com से बात कर रही हूं. मैं देख सकती हूं कि आप dual design,hi,hi
क्या मेरी बात मनोज कुमार उदय से हो रही Good afternoon sir. मेरा नाम आयशा है मैं dot com से call कर रही हूं. आपने ना हमारे साथ पहले दुकान dot com. आपने हमारे साथ थोड़ी shopping की है और मैं आपको वहां दीवाली offer के बारे में बताने के लिए call कर रही हूं. क्या सही time है आपसे बात करने का? Sure sir so after this call I'll send you the link about the offers please check do check it because it's Ok ok sir. Thank you so much for your time. Have a nice day.,क्या मेरी बात मनोज कुमार उदय से हो रही Good afternoon sir. मेरा नाम आयशा है मैं dot com से call कर रही हूं. आपने ना हमारे साथ पहले दुकान dot com. आपने हमारे साथ थोड़ी shopping की है और मैं आपको वहां दीवाली offer के बारे में बताने के लिए call कर रही हूं. क्या सही time है आपसे बात करने का? Sure sir so after this call I'll send you the link about the offers please check do check it because it's Ok ok sir. Thank you so much for your time. Have a nice day.,hi,en
"Hello क्या मैं राधिका के सेवन से बात कर रही हूं? मेरा नाम आयशा है मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आप hello? Hello. Ma'am मैंने कहा मैं देख सकती हूं कि आपका एक cars metal tree light का एक order आप place कर रहे थे पर आपने इस order को confirm नहीं किया है क्या मैं आपका order place के लिए मदद कर सकती हूं? जान सकती हूं आप order को replace करना चाहते Ok, no problem ma'am. अगर आप सामान बचे तो कबीर dot com पर जाकर पसंद की चीज़े order कर सकते हैं. Thank you","Hello क्या मैं राधिका के सेवन से बात कर रही हूं? मेरा नाम आयशा है मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आप hello? Hello. Ma'am मैंने कहा मैं देख सकती हूं कि आपका एक cars metal tree light का एक order आप place कर रहे थे पर आपने इस order को confirm नहीं किया है क्या मैं आपका order place के लिए मदद कर सकती हूं? जान सकती हूं आप order को replace करना चाहते Ok, no problem ma'am. अगर आप सामान बचे तो कबीर dot com पर जाकर पसंद की चीज़े order कर सकते हैं. Thank you",hi,hi
"Hello क्या मैं रामरखानी रौनक से बात कर रही हूं? मेरा नाम आयशा है, मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आपका एक Lutis lotion flower का एक order आप place कर रहे थे, but आपने ना उस order को confirm नहीं किया है. क्या मैं आपका order assist करने में मदद कर सकती हूं? आपने ma'am place कर दिया था क्या इसका order?  Ok, तो ma'am like आपको इसका confirmation message भी मिल गया था, right? आप यही order की बात कर रहे हैं ना Luminary Lotus flower daylight holder का जिसका card value आपका 1099 show हो रहा Ok ok  Ok तो ma'am देखिए कोई कोई product जैसे consumable products होते हैं ना जैसे कि के अलावा बाकी सारे जो है reasonable है, ठीक है? तो सारी details है इन सब चीज़ों की हमारे website पर return policy में है और आप वह read करके order place कर सकते हैं. ठीक है और अगर return का process आपको जानना है तो product receive होने की 7 days तक आप customer care number पर WhatsApp कर सकते हैं और आपका return confirm हो जाएगा and आपको show credit का refund मिल जाता है ठीक है? इन चीज़ों की भी सारी details हमारी website में return policy पर है तो आप check checkout कर सकते हैं ठीक है? ठीक है ma'am. Thank you so much for your time ma'am. Have a nice day, bye.","Hello क्या मैं रामरखानी रौनक से बात कर रही हूं? मेरा नाम आयशा है, मैं dot com से बात कर रही हूं. मैं देख सकती हूं कि आपका एक Lutis lotion flower का एक order आप place कर रहे थे, but आपने ना उस order को confirm नहीं किया है. क्या मैं आपका order assist करने में मदद कर सकती हूं? आपने ma'am place कर दिया था क्या इसका order?  Ok, तो ma'am like आपको इसका confirmation message भी मिल गया था, right? आप यही order की बात कर रहे हैं ना Luminary Lotus flower daylight holder का जिसका card value आपका 1099 show हो रहा Ok ok  Ok तो ma'am देखिए कोई कोई product जैसे consumable products होते हैं ना जैसे कि के अलावा बाकी सारे जो है reasonable है, ठीक है? तो सारी details है इन सब चीज़ों की हमारे website पर return policy में है और आप वह read करके order place कर सकते हैं. ठीक है और अगर return का process आपको जानना है तो product receive होने की 7 days तक आप customer care number पर WhatsApp कर सकते हैं और आपका return confirm हो जाएगा and आपको show credit का refund मिल जाता है ठीक है? इन चीज़ों की भी सारी details हमारी website में return policy पर है तो आप check checkout कर सकते हैं ठीक है? ठीक है ma'am. Thank you so much for your time ma'am. Have a nice day, bye.",hi,hi
"Hello. से बात कर रही हूं. क्या मैं लक्ष्मी बिंदला से बात कर रही हूं? Yes ma'am, my name is जुबेरिया and I am calling from दुकान dot com. Ma'am I can see that you were place, yes ma'am, I can see that you were placing an order for pick off round white fish white racket set of 2, but you have not confirmed the order. Ma'am. You are saying, like, whenever you require, you order? Alright ok no problem if you change your mind you can order your design from WWW dot dot com. ","Hello. से बात कर रही हूं. क्या मैं लक्ष्मी बिंदला से बात कर रही हूं? Yes ma'am, my name is जुबेरिया and I am calling from दुकान dot com. Ma'am I can see that you were place, yes ma'am, I can see that you were placing an order for pick off round white fish white racket set of 2, but you have not confirmed the order. Ma'am. You are saying, like, whenever you require, you order? Alright ok no problem if you change your mind you can order your design from WWW dot dot com. ",en,en
"Hello, मैं अलादीन निर्मला से बात कर रही जी मेरा नाम जुमेरा है और मैं dot com से बात कर रही हूं. मैं देख सकती हूं ma'am कि आप order place कर रहे थे पर आपने order को confirm नहीं किया ma'am dot com पर small elephant Ma'am, cash on delivery के eligibility criteria यह है कि आपका order value 500 rupees से ज़्यादा होना चाहिए या minimum 500. अच्छा ma'am उसके लिए आपका order value 03:59 है ना या तो आपको ऐसा product add करना होगा जो 500 rupees से above है या फिर 500 है या तो आप इसके साथ और एक product भी add कर सकते हैं और आपका cart value 500 rupees से above करेंगे तो आप cash on delivery avail कर सकते हैं. Ma'am आपको मैं अभी guide कर देती हूं. आप और product अगर add करना चाहेंगे तो मैं आपको guide कर देती हूं अभी. आपको less price पर add करना होगा. Ma'am WhatsApp पर तो मैं नहीं share कर पाऊंगी. मैं आपके साथ SMS पर order booking link share कर दूंगी. But वहां से आपको edit करने के लिए आपको product भी तो add करना है ना? उसके लिए website द्वारा ही करना होगा. हमारी website पर अभी मैं आपको guide कर देती हूं. मैं आपको guide कर देती हूं ना अभी call पर order place करने में. हां, नहीं नहीं ma'am, मैं अपनी तरफ़ से नहीं order कर सकती है. क्योंकि cash on delivery order ही हम कर सकते हैं हमारी तरफ़ से customer के लिए. मैंने आपके साथ link भेजा है ma'am. आप अभी call पर मैं आपको guide कर देती हूं. आप एक बार confirm कर लीजिए. आपको SMS मिला आएगा. Confirm है ma'am उसके साथ और एक product add करना है के लिए आपको website से करना. हां हां आपको website पर जाकर देखना होगा w w dot com. जी मैं आपको भेजी हूं ma'am link भेजी हूं जहां पर add किया order booking में. उसके अलावा WWW dot दुकान dot com हमारी website.","Hello, मैं अलादीन निर्मला से बात कर रही जी मेरा नाम जुमेरा है और मैं dot com से बात कर रही हूं. मैं देख सकती हूं ma'am कि आप order place कर रहे थे पर आपने order को confirm नहीं किया ma'am dot com पर small elephant Ma'am, cash on delivery के eligibility criteria यह है कि आपका order value 500 rupees से ज़्यादा होना चाहिए या minimum 500. अच्छा ma'am उसके लिए आपका order value 03:59 है ना या तो आपको ऐसा product add करना होगा जो 500 rupees से above है या फिर 500 है या तो आप इसके साथ और एक product भी add कर सकते हैं और आपका cart value 500 rupees से above करेंगे तो आप cash on delivery avail कर सकते हैं. Ma'am आपको मैं अभी guide कर देती हूं. आप और product अगर add करना चाहेंगे तो मैं आपको guide कर देती हूं अभी. आपको less price पर add करना होगा. Ma'am WhatsApp पर तो मैं नहीं share कर पाऊंगी. मैं आपके साथ SMS पर order booking link share कर दूंगी. But वहां से आपको edit करने के लिए आपको product भी तो add करना है ना? उसके लिए website द्वारा ही करना होगा. हमारी website पर अभी मैं आपको guide कर देती हूं. मैं आपको guide कर देती हूं ना अभी call पर order place करने में. हां, नहीं नहीं ma'am, मैं अपनी तरफ़ से नहीं order कर सकती है. क्योंकि cash on delivery order ही हम कर सकते हैं हमारी तरफ़ से customer के लिए. मैंने आपके साथ link भेजा है ma'am. आप अभी call पर मैं आपको guide कर देती हूं. आप एक बार confirm कर लीजिए. आपको SMS मिला आएगा. Confirm है ma'am उसके साथ और एक product add करना है के लिए आपको website से करना. हां हां आपको website पर जाकर देखना होगा w w dot com. जी मैं आपको भेजी हूं ma'am link भेजी हूं जहां पर add किया order booking में. उसके अलावा WWW dot दुकान dot com हमारी website.",hi,hi
"Hello क्या मेरी बात संजना मित्तल से हो रही Good evening ma'am मेरा नाम आयशा है और मैं दुकान dot com की ओर से call कर रही हूं. आपने ना हमारे साथ पहले shopping की. Ma'am आपने हमारे साथ like basically purchase किया था साईभलाहट पानी पूरी serving stand का. तो ma'am. Hello. हां ma'am तो आपने हमारे साथ जैसे मैंने आपको पहले कहा पहले shopping किया और मैं आपको ना अभी हमारे दीवाली office में बताने के लिए call कर रही हूं क्या सही time है आपसे बात करने का? शुक्रिया ma'am तो पहले तो मैं उम्मीद करती हूं कि आपने जो पहले purchase किया था ना उससे आप खुश है और आपका अनुभव अच्छा रहा होगा और ma'am आपकी जो दीवाली नज़दीक आ रही है ना तो हम अपने सारे products है ना brand दीवाली के लिए offer कर रहे हैं. इसमें ना आपको हमारे top product पर 60 percent तक ही off मिलेगा और हमारे product आपके घर के लिए perfect addition हो सकते हैं इस festive season में और आप उन्हें अपनी family और friends को भी gift कर सकते हैं और आपको बता दूं कि यह limited time offer है तो आप इसे miss ना करें. अगर आप हमारे product देखना चाहते हैं ma'am तो मैं आपके साथ एक link share कर देती हूं जहां आप ना हमारे offer check कर सकते हैं. तो क्या मैं आपके साथ details share कर दूं? Ok ma'am. ठीक है ma'am तो फिर मैं आपके साथ ना product देखने के लिए एक link है इस call के बाद immediately check कर दूंगी, इस time also को ना पूरा का पूरा फ़ायदा उठाएगा और कोई भी support के लिए हमारे website द्वारा उन्हें contact कीजिए, ठीक है? आप ही जीवन में advance ma'am. Thank you so much for your time.","Hello क्या मेरी बात संजना मित्तल से हो रही Good evening ma'am मेरा नाम आयशा है और मैं दुकान dot com की ओर से call कर रही हूं. आपने ना हमारे साथ पहले shopping की. Ma'am आपने हमारे साथ like basically purchase किया था साईभलाहट पानी पूरी serving stand का. तो ma'am. Hello. हां ma'am तो आपने हमारे साथ जैसे मैंने आपको पहले कहा पहले shopping किया और मैं आपको ना अभी हमारे दीवाली office में बताने के लिए call कर रही हूं क्या सही time है आपसे बात करने का? शुक्रिया ma'am तो पहले तो मैं उम्मीद करती हूं कि आपने जो पहले purchase किया था ना उससे आप खुश है और आपका अनुभव अच्छा रहा होगा और ma'am आपकी जो दीवाली नज़दीक आ रही है ना तो हम अपने सारे products है ना brand दीवाली के लिए offer कर रहे हैं. इसमें ना आपको हमारे top product पर 60 percent तक ही off मिलेगा और हमारे product आपके घर के लिए perfect addition हो सकते हैं इस festive season में और आप उन्हें अपनी family और friends को भी gift कर सकते हैं और आपको बता दूं कि यह limited time offer है तो आप इसे miss ना करें. अगर आप हमारे product देखना चाहते हैं ma'am तो मैं आपके साथ एक link share कर देती हूं जहां आप ना हमारे offer check कर सकते हैं. तो क्या मैं आपके साथ details share कर दूं? Ok ma'am. ठीक है ma'am तो फिर मैं आपके साथ ना product देखने के लिए एक link है इस call के बाद immediately check कर दूंगी, इस time also को ना पूरा का पूरा फ़ायदा उठाएगा और कोई भी support के लिए हमारे website द्वारा उन्हें contact कीजिए, ठीक है? आप ही जीवन में advance ma'am. Thank you so much for your time.",hi,hi
"Hello ma'am this is आयशा from मुस्कान. Hello, ma'am you wanted to place the order, right? Welcome product. Ok. So see I'm, we can like place the order for you, but I need first confirmation about your address. So please confirm your address for me 1 more, ok? This your address is search Hello, Missो राम. Is this correct ma'am?  This is correct, right? Ok, also provide you within your email ID and phone number, ma'am, so that I can place the order in assistance. What is your email ID? Email ID.  No no your email ID. Is this the same on the other? RC dot at the rate Gmail dot com, is this this only? Same right, ok, give me a minute. Ok, आरती dot at the rate Gmail dot com. What about your phone number ma'am? Phone number is the same as given on the website. Wait a minute, wait a minute, wait a minute, tell me again ma'am. Tell me your phone number either? No, this phone number or any other phone number whichever you have. Hello. Hello ma'am tell me your phone number, your phone number. Yes your mobile number. 9436 380. 2831 right. Ok, thank you for the information ma'am. You will receive an order confirmation letter shortly after this call, ok. Your order should be delivered within next 5 to 7 days from the order confirmation date. So please have the COD amount ready, ok? You can do the COD payment, right? On delivery. Alright. Ok ma'am. So please have this COD amount ready and make the payment at the time of delivery, ok? Ok ma'am. Thank you so much for your time. Have a nice day.","Hello ma'am this is आयशा from मुस्कान. Hello, ma'am you wanted to place the order, right? Welcome product. Ok. So see I'm, we can like place the order for you, but I need first confirmation about your address. So please confirm your address for me 1 more, ok? This your address is search Hello, Missो राम. Is this correct ma'am?  This is correct, right? Ok, also provide you within your email ID and phone number, ma'am, so that I can place the order in assistance. What is your email ID? Email ID.  No no your email ID. Is this the same on the other? RC dot at the rate Gmail dot com, is this this only? Same right, ok, give me a minute. Ok, आरती dot at the rate Gmail dot com. What about your phone number ma'am? Phone number is the same as given on the website. Wait a minute, wait a minute, wait a minute, tell me again ma'am. Tell me your phone number either? No, this phone number or any other phone number whichever you have. Hello. Hello ma'am tell me your phone number, your phone number. Yes your mobile number. 9436 380. 2831 right. Ok, thank you for the information ma'am. You will receive an order confirmation letter shortly after this call, ok. Your order should be delivered within next 5 to 7 days from the order confirmation date. So please have the COD amount ready, ok? You can do the COD payment, right? On delivery. Alright. Ok ma'am. So please have this COD amount ready and make the payment at the time of delivery, ok? Ok ma'am. Thank you so much for your time. Have a nice day.",en,en
" जी sir, मेरा नाम जुवेदिया है और मैं राजस्थान dot com से बात कर रही हूं. Sir मैं देख सकती हूं कि आप lock कृष्णा metals ताकि और plain flute का order place कर रहे थे. Sir आपने order को confirm नहीं किया अच्छा, जब requirement होगी तब करेंगे कह रहे हैं ठीक है sir no problem अगर आप अपना मन कर लें तो कभी भी WWW dot दुकान dot com पर से अपने पसंद की चीज़ें order कर सकते हैं आपका दिन शुभ हो."," जी sir, मेरा नाम जुवेदिया है और मैं राजस्थान dot com से बात कर रही हूं. Sir मैं देख सकती हूं कि आप lock कृष्णा metals ताकि और plain flute का order place कर रहे थे. Sir आपने order को confirm नहीं किया अच्छा, जब requirement होगी तब करेंगे कह रहे हैं ठीक है sir no problem अगर आप अपना मन कर लें तो कभी भी WWW dot दुकान dot com पर से अपने पसंद की चीज़ें order कर सकते हैं आपका दिन शुभ हो.",hi,hi
